index_caracteristique_interieure;surface_carrez;type_local;nombre_ pieces_principales;index_adresse
472;69.45;Appartement;3;472
473;78.84;Appartement;4;473
474;37.09;Appartement;2;474
475;65.39;Appartement;3;475
476;47.48;Appartement;2;476
477;26.1;Appartement;1;477
478;40.92;Appartement;1;478
479;26;Appartement;1;479
480;67;Appartement;4;480
481;56.5;Appartement;3;481
482;38.5;Appartement;2;482
483;42.7;Appartement;2;483
484;16.7;Appartement;1;484
485;0.4;Appartement;1;485
486;59.66;Maison;3;486
487;21.2;Appartement;1;487
488;43.36;Appartement;2;488
489;56.81;Appartement;3;489
490;43.33;Appartement;3;490
491;32.8;Appartement;2;491
492;15.42;Appartement;1;492
493;24.64;Appartement;1;493
494;28.5;Appartement;2;494
495;66.45;Appartement;2;495
496;59.9;Appartement;3;496
497;54.99;Appartement;3;497
498;18.04;Appartement;1;498
499;28.56;Appartement;1;499
500;23.66;Appartement;1;500
501;121.56;Appartement;5;501
502;30.72;Appartement;2;502
503;32.97;Appartement;2;503
504;28.61;Appartement;1;504
505;30.74;Appartement;2;505
506;30.59;Appartement;1;506
507;33.5;Appartement;2;507
508;30.52;Appartement;2;508
509;51.85;Appartement;2;509
510;63.2;Appartement;2;510
511;23.08;Appartement;3;511
512;86.49;Maison;3;512
513;36.44;Appartement;2;513
514;28.96;Appartement;2;514
515;26.42;Appartement;1;515
516;49.06;Appartement;2;516
517;100.11;Maison;5;517
518;89.03;Maison;4;518
519;43.44;Appartement;2;519
520;119.95;Appartement;4;520
521;25.1;Appartement;4;521
522;49.55;Appartement;3;522
523;26.62;Appartement;1;523
524;28.79;Appartement;2;524
525;18.63;Appartement;1;525
526;14;Appartement;4;526
527;16.99;Appartement;1;527
528;68.23;Appartement;3;528
529;21.48;Appartement;2;529
530;16.9;Appartement;1;530
531;101.99;Appartement;4;531
532;54.25;Appartement;3;532
533;26.78;Appartement;1;533
534;27.06;Appartement;1;534
535;34.97;Appartement;2;535
536;18.45;Appartement;1;536
537;39.3;Appartement;3;537
538;35.51;Appartement;2;538
539;52.24;Appartement;2;539
540;14.33;Appartement;1;540
541;49.21;Appartement;2;541
542;39.2;Appartement;3;542
543;30.34;Appartement;1;543
544;28.32;Appartement;1;544
545;99.04;Appartement;4;545
546;30.2;Appartement;3;546
547;80.25;Appartement;3;547
548;72.25;Appartement;4;548
549;19.23;Appartement;1;549
550;56.45;Appartement;2;550
551;18.02;Appartement;1;551
552;32.83;Appartement;2;552
553;48.23;Appartement;2;553
554;34.04;Appartement;1;554
555;36.26;Appartement;2;555
556;69;Appartement;3;556
557;45.5;Appartement;2;557
558;13.69;Appartement;1;558
559;68.75;Appartement;3;559
560;34.31;Appartement;2;560
561;68.35;Appartement;3;561
562;114.78;Appartement;4;562
563;30.76;Appartement;1;563
564;78.45;Appartement;4;564
565;64.25;Appartement;2;565
566;118.14;Appartement;5;566
567;133.44;Appartement;4;567
568;96;Appartement;4;568
569;28.32;Appartement;1;569
570;93.6;Appartement;3;570
571;79.48;Appartement;2;571
572;19.88;Appartement;1;572
573;43.48;Appartement;1;573
574;90.1;Appartement;3;574
575;19.11;Appartement;1;575
576;24.92;Appartement;2;576
