index_adresse;numero_voie;complement_numero_voie;type_de_voie;nom_voie;code_postal;commune
4016;106;;RUE;BOURBONNOUX;18 000 ;BOURGES
4017;4;;RUE;DU BOUILLET;18 000 ;BOURGES
4018;26;;RUE;DES RAINETTES;18 570 ;MORTHOMIERS
4019;7;;RUE;JEANNE DE FRANCE;18 000 ;BOURGES
4020;1;;RUE;DE L ILE D OR;18 000 ;BOURGES
4021;8;;RUE;VOLTA;18 000 ;BOURGES
4022;70;;BD;DE JURANVILLE;18 000 ;BOURGES
4023;5;;RUE;SOUS LES CEPS;18 000 ;BOURGES
4024;3;;RUE;DE SERAUCOURT;18 000 ;BOURGES
4025;2;B;RUE;FAIDHERBE;18 000 ;BOURGES
4026;4;;RUE;MIREBEAU;18 000 ;BOURGES
4027;1;;RUE;DE L ILE D OR;18 000 ;BOURGES
4028;2;;RUE;CHARLES 7;18 000 ;BOURGES
4029;4;;BD;G CLEMENCEAU;18 000 ;BOURGES
4030;28;;RUE;COURSARLON;18 000 ;BOURGES
4031;15;;RUE;GAMBON;18 000 ;BOURGES
4032;7;;RUE;ARTHUR RIMBAUD;18 000 ;BOURGES
4033;12;;RUE;MIREBEAU;18 000 ;BOURGES
4034;3;;RUE;PIERRE DEBOURNOU;18 100 ;VIERZON
4035;8;;RUE;JACQUES COEUR;18 000 ;BOURGES
4036;24;A;RUE;AGNES SOREL;18 000 ;BOURGES
4037;27;;;LES AVINAUX;18 500 ;ALLOUIS
4038;4;;RUE;FERNAULT;18 000 ;BOURGES
4039;1;;RUE;MARTIN SIEMENS;18 000 ;BOURGES
4040;50;;AV;JEAN JAURES;18 000 ;BOURGES
4041;4;;IMP;PELLETIER DOISY;18 000 ;BOURGES
4042;22;;PL;DU MARCHE;18 200 ;SAINT-AMAND-MONTROND
4043;18;;RUE;NATIONALE;18 200 ;SAINT-AMAND-MONTROND
4044;24;B;RUE;SAINTE ANNE;18 700 ;AUBIGNY-SUR-NERE
4045;1;;PASS;LE PASSAGE DES FEES;19 260 ;TREIGNAC
4046;9;;AV;WINSTON CHURCHILL;19 000 ;TULLE
4047;32;;RUE;DU DOC VALETTE;19 000 ;TULLE
4048;14;;N;QU DE LA REPUBLIQUE;19 000 ;TULLE
4049;9;;AV;GAMBETTA;19 200 ;USSEL
4050;38;;RUE;JEAN JAURES;19 000 ;TULLE
4051;11;;AV;GUYNEMER;19 000 ;TULLE
4052;5;;RUE;D ESPAGNAC;19 100 ;BRIVE LA GAILLARDE
4053;69;;AV;MAL FOCH;19 100 ;BRIVE LA GAILLARDE
4054;10;;AV;ALSACE LORRAINE;19 100 ;BRIVE LA GAILLARDE
4055;8;;RUE;DE BRAMEFOND;19 100 ;BRIVE LA GAILLARDE
4056;6;;RUE;CHARLES GOBERT;19 100 ;BRIVE LA GAILLARDE
4057;48;;AV;EMILE ZOLA;19 100 ;BRIVE LA GAILLARDE
4058;3;;AV;DU 11 NOVEMBRE 1918;19 100 ;BRIVE LA GAILLARDE
4059;1;;LOT;IMP DES VIEUX CHENES;19 270 ;USSAC
4060;18;;RUE;DOC ROUX;19 100 ;BRIVE LA GAILLARDE
4061;62;;RUE;DOC BARDON;19 100 ;BRIVE LA GAILLARDE
4062;23;;AV;MICHEL LABROUSSE;19 100 ;BRIVE LA GAILLARDE
4063;33;;AV;DU MIDI;19 230 ;SAINT-SORNIN-LAVOLPS
4064;45;;RUE;LOUIS MIE;19 100 ;BRIVE LA GAILLARDE
4065;7;;RUE;DE LA CONCORDE;19 100 ;BRIVE LA GAILLARDE
4066;25;;RUE;DE LA REPUBLIQUE;19 100 ;BRIVE LA GAILLARDE
4067;7;;RUE;DE LA CONCORDE;19 100 ;BRIVE LA GAILLARDE
4068;27;;RUE;D ESPAGNAC;19 100 ;BRIVE LA GAILLARDE
4069;69;;AV;MAL FOCH;19 100 ;BRIVE LA GAILLARDE
4070;8;;RUE;FERNAND DELMAS;19 100 ;BRIVE LA GAILLARDE
4071;8;;RUE;LOUIS CHADOURNE;19 100 ;BRIVE LA GAILLARDE
4072;25;;AV;TURGOT;19 100 ;BRIVE LA GAILLARDE
4073;2;;RUE;GEORGES SAND;19 360 ;MALEMORT
4074;872;;AV;DU HUIT MAI;19 270 ;SAINTE FEREOLE
4075;18;;RUE;JEAN FIEYRE;19 100 ;BRIVE LA GAILLARDE
4076;15;;RUE;FRANCOIS MIALET;19 100 ;BRIVE LA GAILLARDE
4077;4;;IMP;DU NANY;19 100 ;BRIVE LA GAILLARDE
